ID,POSITION,NAME,ALLIANCE,POWER,HIGHEST_POWER,KP,DEATHS,RSS_ASSIST,T4_KILLS,T5_KILLS,TIMESTAMP
149831176,201,ᵀᴱitsme๛M,[TE/1]K31 Farm Alliance,25.531M,26.519M,73.19M,1.7608M,1.0239B,6.3067M,281.67K,2023-09-22 18:54:12.740915
153068388,202,ᵀᴱ YuYu,[31WS]Whisky & Soda,25.517M,26.359M,15.751M,797.16K,226.92M,932.39K,292.66K,2023-09-22 18:54:20.734898
147358260,203,亗 Gatopelon,-,25.502M,27.106M,86.235M,1.6754M,340.84M,6.4371M,822.25K,2023-09-22 18:54:28.701029
153922198,204,Mighty tempest,[TE/1]K31 Farm Alliance,25.497M,25.498M,127.9M,941.11K,731.3M,10.392M,843.82K,2023-09-22 18:54:36.697819
148420543,205,ᴼᵐ Sĩlĩw,[OM/1J)OGAH MUNDURR,25.47M,25.47M,121.38M,1.4402M,219.8M,9.5254M,944.36K,2023-09-22 18:54:44.687047
145717778,206,Mamank 乄 31,[OM/1J)OGAH MUNDURR,25.442M,25.94M,102.58M,2.8897M,230.54M,7.1362M,702.18K,2023-09-22 18:54:52.666940
153401189,207,ᵀᴱ Nhím,-,25.37M,31.429M,81.157M,2.3448M,248.9M,6.5395M,186.9K,2023-09-22 18:55:00.673014
153739962,208,ANSHAN,[LP/1)legion of Phoenix,25.253M,25.259M,3.3684M,980.23K,34.52M,257.03K,4.445K,2023-09-22 18:55:08.608375
153780223,209,Thương1994,[4/TE]NAZARIT XXX,25.195M,25.195M,38.239M,899.76K,631.75M,2.6505M,298.98K,2023-09-22 18:55:16.603222
153363673,210,ᵀᴱGàRừng,[TE/1]K31 Farm Alliance,25.168M,25.168M,105.93M,1.1312M,9.6M,8.1852M,1.1685M,2023-09-22 18:55:24.525052
153791027,211,TidurSiang,[LP/1)legion of Phoenix,25.161M,25.161M,49.489M,597.86K,275.2M,3.3933M,343.26K,2023-09-22 18:55:32.417059
153148677,212,ᴼᴹZakuu,[OM/1J)OGAH MUNDURR,25.125M,25.281M,174.47M,1.051M,204.69M,13.7M,682.94K,2023-09-22 18:55:40.335152
148645696,213,Cileupeung,[JH31] JANDA HUNTER XV,25.116M,25.116M,36.192M,1.3992M,150.72M,2.4038M,361.82K,2023-09-22 18:55:48.210260
150867084,214,ᴳᴾLontrikus,[31WS]Whisky & Soda,25.096M,25.099M,42.732M,422.46K,222.08M,3.2713M,62.05K,2023-09-22 18:55:56.120127
153840916,215,ᵀᴱ kiemle,[TE/1]K31 Farm Alliance,25.02M,25.02M,92.484M,1.2624M,190.4M,6.701M,621.48K,2023-09-22 18:56:04.036528
153779604,216,17 Thái Bình,[OM/1J)OGAH MUNDURR,24.954M,24.954M,29.407M,995.44K,0,1.8449M,319.11K,2023-09-22 18:56:11.896278
153690235,217,ᴼᵐkhoceng,[OM/1J)OGAH MUNDURR,24.953M,24.953M,97.122M,1.1137M,397.29M,7.3907M,578.91K,2023-09-22 18:56:19.766381
151208703,218,MCDaredo,[31WS]Whisky & Soda,24.905M,24.907M,20.568M,428.26K,74.672M,1.4579M,111.28K,2023-09-22 18:56:27.627356
153778184,219,ᵀᴱ Chin Su,[1/TE] Twilight Errant,24.892M,24.892M,120.15M,1.3258M,437.73M,9.2644M,1.209M,2023-09-22 18:56:35.504491
146690105,220,ᴼᴹ goelt,[JH31] JANDA HUNTER XV,2.489M,24.922M,11.463M,487.45K,5.7288M,796.99K,144.54K,2023-09-22 18:56:43.403744
145375164,221,ᴼᵐTĭểuLa,[OM/1J)OGAH MUNDURR,24.87M,24.87M,15.907M,1.1844M,244.46M,1.1846M,114.56K,2023-09-22 18:56:51.269827
152565308,222,TDD ㋡,[1/TE] Twilight Errant,24.843M,25.048M,95.218M,1.6204M,985.18M,5.8845M,396.07K,2023-09-22 18:56:59.139853
153742647,223,Beast Watcher,[31WS]Whisky & Soda,24.839M,24.877M,68.975M,729.06K,52M,5.5636M,441.64K,2023-09-22 18:57:07.006375
153735229,224,ᴼᵐ Max,[31WS]Whisky & Soda,24.814M,24.814M,28.698M,574.87K,0,2.1803M,232.3K,2023-09-22 18:57:15.028680
148181060,225,ᴼᵐE tv,[OM/1J)OGAH MUNDURR,24.814M,24.819M,77.493M,1.2419M,296.95M,5.875M,860.2K,2023-09-22 18:57:22.989948
153281508,226,ᴼᵐ TeAmMoRe,[OM/1J)OGAH MUNDURR,24.691M,25.131M,87.224M,1.6153M,151.1M,7.0605M,616.72K,2023-09-22 18:57:30.961760
153732106,227,Magic dj,[LP/1)legion of Phoenix,24.639M,26.73M,78.788M,1.0183M,102.82M,6.9207M,233.44K,2023-09-22 18:57:38.963020
145925165,228,ᴼᵐREDveluv,-,24.613M,24.903M,45.589M,354.12K,216M,3.8361M,198.27K,2023-09-22 18:57:46.940760
148509955,229,ᶻᵉMrPlay,[31WS]Whisky & Soda,24.567M,24.567M,15.687M,215.93K,353.26M,1.4031M,37.933K,2023-09-22 18:57:54.884170
151050314,230,The Dark Lion,[31Gp]GOLDEN PHOENIX,24.472M,24.474M,11.496M,116.11K,409.82M,794.65K,1.653K,2023-09-22 18:58:02.809251
153738509,231,xvHADD,[OM/1J)OGAH MUNDURR,24.441M,24.441M,36.288M,675.08K,43.111M,2.7875M,316.95K,2023-09-22 18:58:10.711798
153656948,232,ᵀᴱ NittyXx,[1/TE]Twilight~Errant,24.222M,26.893M,115.93M,2.0635M,672.8M,8.5536M,957.1K,2023-09-22 18:58:18.631689
152989309,233,Naräka,-,24.2M,24.2M,21.312M,117.07K,1,1.7661M,107.56K,2023-09-22 18:58:26.544098
150341664,234,ᴳᵇSatria,[31WS]Whisky & Soda,24.158M,24.158M,23.218M,513.28K,30.011M,1.8358M,160.43K,2023-09-22 18:58:34.439460
148215323,235,ᴼᵐDANI AJAX,[OM/1J)OGAH MUNDURR,24.04M,24.04M,26.377M,923.9K,493.92M,1.8822M,291.5K,2023-09-22 18:58:42.279214
150276906,236,TroKsler,[LP/1)legion of Phoenix,24.006M,24.009M,33.165M,1.4362M,9.123M,2.7363M,161.16K,2023-09-22 18:58:50.158049
146708188,237,ᴼᵐLgi om ah,[OM/1J)OGAH MUNDURR,23.863M,24.79M,61.852M,1.6192M,2.6131B,4.2625M,397.85K,2023-09-22 18:58:58.027290
150728203,238,ᴳᵇ   S,[31WS]Whisky & Soda,23.845M,23.845M,101.04M,2.4941M,267.15M,7.916M,557.05K,2023-09-22 18:59:05.876615
153770877,239,InTheNameOf GOD,[31WS]Whisky & Soda,23.637M,23.637M,3.6438M,212.24K,2.135M,303.95K,11.992K,2023-09-22 18:59:13.745501
145649566,240,ᴼᴹVoldigoad,[JH31] JANDA HUNTER XV,23.573M,23.716M,66.448M,1.8065M,124.4M,4.9102M,682.55K,2023-09-22 18:59:21.569776
151194736,241,ʷˢAmieツ,[4/TE]NAZARIT XXX,23.52M,24.263M,23.181M,1.0054M,296.49M,1.5766M,194.89K,2023-09-22 18:59:29.428795
153286958,242,ᵀᴱCodeZero,[1/TE] Twilight Errant,23.475M,25.973M,47.022M,1.4838M,36.207M,3.5432M,421.89K,2023-09-22 18:59:37.277823
153071678,243,republik askar,[31WS]Whisky & Soda,23.436M,23.436M,13.245M,204.51K,2.2M,904.52K,121.85K,2023-09-22 18:59:45.140941
151169949,244,fab20,[31WS]Whisky & Soda,23.432M,24.223M,8.5628M,1.1795M,2.9295M,690.23K,55.05K,2023-09-22 18:59:52.995284
145860012,245,ᴼᴹOseng17,-,23.315M,23.315M,32.667M,684.93K,125.37M,2.3388M,53.839K,2023-09-22 19:00:00.864998
145963483,246,ᴼᴹNceff,[JH31] JANDA HUNTER XV,23.313M,23.313M,14.724M,356.13K,55.496M,1.1191M,161.83K,2023-09-22 19:00:08.733775
150460053,247,ᴳˢBup,[31WS]Whisky & Soda,23.286M,23.286M,41.11M,483.53K,15.447M,3.1948M,363K,2023-09-22 19:00:16.602407
155475443,248,ᵀᴱNickMori,[1/TE] Twilight Errant,23.236M,23.897M,94.309M,1.302M,32.405M,7.2314M,1.0011M,2023-09-22 19:00:24.447329
153328597,249,ᴼᵐTakgentaR,[OM/1J)OGAH MUNDURR,23.228M,23.228M,55.893M,1.5667M,123.6M,4.3104M,321.54K,2023-09-22 19:00:32.352678
153793259,250,Dazzac,[JH31] JANDA HUNTER XV,23.208M,23.208M,11.009M,677.81K,16.677M,855K,68.359K,2023-09-22 19:00:40.251215
151247178,251,Your Reaper,[31WS]Whisky & Soda,23.194M,23.194M,13.332M,704.72K,21.521M,717.8K,253.86K,2023-09-22 19:00:48.147447
153447456,252,ᴼᴹ AmmureTa,[JH31] JANDA HUNTER XV,23.167M,26.127M,58.965M,1.266M,116.17M,4.6685M,434.9K,2023-09-22 19:00:56.053507
150997974,253,ʷˢMech,[31WS]Whisky & Soda,23.153M,25.251M,23.349M,1.2408M,19.398M,1.8937M,159.56K,2023-09-22 19:01:03.918088
